,pIC50
0,6.1249387366083
1,7.0
2,4.301029995663981
3,6.522878745280337
4,6.096910013008056
5,5.619788758288394
6,7.0
7,4.301029995663981
8,6.096910013008056
9,4.301029995663981
10,4.301029995663981
11,7.301029995663981
12,4.0
13,6.251811972993799
14,8.0
15,8.0
16,5.853871964321762
17,4.769551078621726
18,5.958607314841775
19,4.301029995663981
20,7.585026652029182
21,4.301029995663981
22,6.096910013008056
23,4.301029995663981
25,4.301029995663981
26,7.251811972993799
27,6.698970004336019
28,6.522878745280337
29,6.698970004336019
30,4.301029995663981
31,6.301029995663981
32,4.0
33,4.301029995663981
34,3.585026652029182
36,7.657577319177793
38,3.0
39,5.42021640338319
40,7.3979400086720375
42,3.0
43,7.136677139879544
44,5.508638306165727
45,3.2839966563652006
46,5.346787486224656
47,5.920818753952375
48,3.0
50,3.0
51,6.267606240177032
52,7.522878745280337
53,6.080921907623926
54,4.698970004336019
55,3.0
56,3.0
57,6.4089353929735005
58,6.4089353929735005
59,6.366531544420414
60,3.0
62,6.221848749616356
63,5.698970004336019
64,3.0
65,4.6777807052660805
66,6.5376020021010435
67,6.154901959985743
68,3.337242168318426
69,6.200659450546418
70,5.6777807052660805
71,3.4814860601221125
72,3.4685210829577446
73,3.0
74,6.5376020021010435
75,3.677780705266081
76,7.3979400086720375
77,7.096910013008056
78,7.022276394711152
79,3.1487416512809245
80,3.744727494896694
81,4.698970004336019
82,7.221848749616356
83,7.154901959985743
84,6.552841968657781
85,4.958607314841775
86,5.823908740944319
87,6.187086643357144
88,6.031517051446065
89,6.431798275933005
90,5.346787486224656
91,3.1426675035687315
92,7.522878745280337
93,5.119186407719209
94,7.096910013008056
95,3.0
96,6.42021640338319
97,5.481486060122113
98,3.0
100,6.431798275933005
101,5.031517051446065
102,3.0
103,6.920818753952375
104,1.0
105,1.0
106,1.0
107,1.0
108,1.0
109,1.0
110,1.0
111,1.0
112,1.0
113,1.0
114,5.522878745280337
115,4.97469413473523
116,6.3979400086720375
117,8.301029995663981
118,3.6108339156354674
119,3.4365189146055894
120,4.940058111938045
121,5.167491087293763
122,4.576754126063192
123,5.698970004336019
124,6.170053304058364
125,5.525783735923745
126,4.730954290342377
127,4.747146969020107
128,5.377785977033705
129,6.6595558851598815
130,6.638272163982407
131,6.1249387366083
132,8.337242168318426
133,6.4089353929735005
134,5.590066876668706
135,7.3979400086720375
136,6.173925197299173
137,6.958607314841775
138,6.552841968657781
139,6.795880017344075
140,6.638272163982407
141,4.708187312532881
142,6.0
143,7.275724130399211
144,6.0
145,5.498940737782249
146,6.2839966563652006
147,8.585026652029182
148,6.920818753952375
149,6.958607314841775
150,5.473660722610156
